date,state,district,pincode,age_0_5,age_5_17,age_17_plus
2025-03-15,Bihar,Sitamarhi,843324.0,22.0,89.0,44.0
2025-03-15,Assam,Kokrajhar,783360.0,25.0,23.0,10.0
2025-03-15,Delhi,North West Delhi,110086.0,35.0,15.0,10.0
2025-03-15,Uttar Pradesh,Agra,282001.0,38.0,123.0,21.0
2025-03-15,Meghalaya,West Jaintia Hills,793150.0,92.0,17.0,30.0
2025-03-15,Uttar Pradesh,Agra,282010.0,10.0,49.0,19.0
2025-03-15,Uttar Pradesh,Ghaziabad,201002.0,13.0,57.0,19.0
2025-03-15,Bihar,Madhubani,847421.0,15.0,54.0,15.0
2025-03-15,Uttar Pradesh,Unnao,209801.0,17.0,95.0,18.0
2025-03-15,Bihar,Sitamarhi,843331.0,20.0,28.0,15.0
2025-03-15,Uttar Pradesh,Saharanpur,247001.0,91.0,152.0,10.0
2025-03-20,Assam,Dibrugarh,786602.0,10.0,12.0,14.0
2025-03-20,Assam,Udalguri,784509.0,10.0,46.0,34.0
2025-03-20,Assam,Chirang,783390.0,12.0,29.0,15.0
2025-03-20,Assam,Kamrup,781354.0,13.0,20.0,13.0
2025-03-20,Assam,Dhubri,783331.0,15.0,51.0,12.0
2025-03-20,Uttar Pradesh,Jaunpur,222001.0,19.0,103.0,29.0
2025-03-20,Maharashtra,Thane,421503.0,19.0,13.0,15.0
2025-03-20,Karnataka,Bengaluru Urban,560037.0,20.0,16.0,17.0
2025-03-20,Assam,Dhemaji,787057.0,20.0,46.0,19.0
2025-03-20,Uttar Pradesh,Agra,283125.0,25.0,29.0,12.0
2025-03-20,Assam,Kokrajhar,783360.0,32.0,75.0,29.0
2025-03-20,Gujarat,Banas Kantha,385545.0,37.0,11.0,15.0
2025-03-20,Bihar,Sitamarhi,843324.0,41.0,55.0,30.0
2025-03-20,Karnataka,Bengaluru Urban,560068.0,56.0,20.0,16.0
2025-03-20,Uttar Pradesh,Firozabad,283203.0,65.0,51.0,11.0
2025-03-20,Madhya Pradesh,Gwalior,474001.0,73.0,25.0,18.0
2025-03-20,Uttar Pradesh,Agra,282001.0,96.0,125.0,11.0
2025-03-20,Maharashtra,Chhatrapati Sambhajinagar,431001.0,134.0,38.0,18.0
2025-03-20,Assam,Dhubri,783348.0,11.0,115.0,37.0
2025-03-20,Assam,Tinsukia,786156.0,12.0,32.0,21.0
2025-03-20,Andhra Pradesh,Sri Potti Sriramulu Nellore,524311.0,15.0,19.0,17.0
2025-03-20,Karnataka,Bengaluru Urban,560035.0,16.0,10.0,13.0
2025-03-20,Uttar Pradesh,Unnao,209821.0,17.0,41.0,15.0
2025-03-20,Assam,Marigaon,782104.0,20.0,58.0,10.0
2025-03-20,Assam,Barpeta,783101.0,24.0,34.0,10.0
2025-03-20,Assam,Kokrajhar,783350.0,24.0,55.0,23.0
2025-03-20,Karnataka,Bengaluru Urban,560036.0,28.0,12.0,13.0
2025-03-20,Assam,Dhubri,783334.0,31.0,37.0,25.0
2025-03-20,Gujarat,Banas Kantha,385310.0,78.0,32.0,13.0
2025-03-20,Bihar,Sitamarhi,843330.0,10.0,12.0,19.0
2025-03-20,Assam,Sonitpur,784110.0,10.0,28.0,43.0
2025-03-20,Assam,Baksa,781366.0,11.0,14.0,13.0
2025-03-20,Assam,Tinsukia,786152.0,18.0,25.0,11.0
2025-03-20,Assam,Tinsukia,786151.0,19.0,24.0,19.0
2025-03-20,Uttar Pradesh,Bahraich,271855.0,20.0,62.0,13.0
2025-03-20,Gujarat,Banas Kantha,385330.0,47.0,11.0,25.0
2025-03-20,Karnataka,Bengaluru Urban,560043.0,49.0,16.0,28.0
2025-03-20,Punjab,Ludhiana,141007.0,104.0,13.0,14.0
2025-03-20,Gujarat,Patan,384265.0,118.0,14.0,11.0
2025-03-20,Assam,Tinsukia,786171.0,12.0,37.0,30.0
2025-03-20,Uttar Pradesh,Bahraich,271865.0,12.0,47.0,21.0
2025-03-20,Tamil Nadu,Kanchipuram,600069.0,12.0,12.0,10.0
2025-03-20,Bihar,Patna,800001.0,12.0,52.0,16.0
2025-03-20,Assam,Lakhimpur,787031.0,25.0,34.0,42.0
2025-03-20,Assam,Bongaigaon,783384.0,25.0,33.0,31.0
2025-03-20,Assam,Dhubri,783339.0,32.0,26.0,24.0
2025-03-20,Gujarat,Vadodara,390019.0,36.0,43.0,10.0
2025-03-20,Uttarakhand,Nainital,263139.0,46.0,18.0,11.0
2025-03-20,Meghalaya,West Jaintia Hills,793150.0,55.0,10.0,95.0
2025-03-20,Gujarat,Banas Kantha,385001.0,86.0,15.0,10.0
2025-03-20,Uttar Pradesh,Gautam Buddha Nagar,201301.0,87.0,218.0,14.0
2025-03-20,Uttar Pradesh,Aligarh,202001.0,104.0,241.0,16.0
2025-03-20,Uttarakhand,Dehradun,248001.0,123.0,43.0,10.0
2025-03-20,Karnataka,Bengaluru Urban,560066.0,19.0,13.0,11.0
2025-03-20,Meghalaya,West Khasi Hills,793119.0,20.0,19.0,202.0
2025-03-20,Uttar Pradesh,Agra,283111.0,21.0,16.0,11.0
2025-03-20,Assam,Tinsukia,786174.0,23.0,52.0,20.0
2025-03-20,Assam,Hojai,782446.0,27.0,42.0,20.0
2025-03-20,Karnataka,Bengaluru Urban,560100.0,28.0,13.0,11.0
2025-03-20,Andhra Pradesh,Sri Potti Sriramulu Nellore,524002.0,28.0,25.0,12.0
2025-03-20,Karnataka,Bengaluru Urban,560077.0,30.0,12.0,17.0
2025-03-20,Assam,Marigaon,782105.0,49.0,83.0,29.0
2025-03-23,Uttar Pradesh,Jaunpur,222001.0,29.0,68.0,11.0
2025-03-23,Meghalaya,West Khasi Hills,793119.0,43.0,46.0,14.0
2025-03-23,Madhya Pradesh,Gwalior,474001.0,10.0,21.0,16.0
2025-03-23,Meghalaya,East Khasi Hills,793015.0,11.0,11.0,115.0
2025-03-23,Uttar Pradesh,Bahraich,271865.0,11.0,72.0,13.0
2025-03-23,Bihar,Sitamarhi,843324.0,34.0,41.0,10.0
2025-03-26,Meghalaya,West Jaintia Hills,793150.0,168.0,26.0,17.0
2025-03-27,Gujarat,Dahod,389180.0,16.0,18.0,27.0
2025-03-27,Madhya Pradesh,Bhind,477116.0,17.0,15.0,11.0
2025-03-27,Uttar Pradesh,Kanpur Nagar,208001.0,18.0,56.0,11.0
2025-03-27,Gujarat,Banas Kantha,385330.0,19.0,17.0,26.0
2025-03-27,Uttar Pradesh,Agra,283201.0,21.0,15.0,10.0
2025-03-27,Gujarat,Patan,384265.0,23.0,12.0,12.0
2025-03-27,Gujarat,Morbi,363641.0,36.0,12.0,23.0
2025-03-27,Chhattisgarh,Raipur,492001.0,49.0,15.0,36.0
2025-03-27,Uttar Pradesh,Maharajganj,273164.0,11.0,56.0,22.0
2025-03-27,Uttar Pradesh,Gorakhpur,273001.0,13.0,36.0,11.0
2025-03-27,Uttar Pradesh,Agra,282006.0,19.0,31.0,16.0
2025-03-27,Uttar Pradesh,Bulandshahr,203205.0,19.0,32.0,10.0
2025-03-27,Uttar Pradesh,Mathura,281204.0,24.0,21.0,26.0
2025-03-27,Bihar,Pashchim Champaran,845307.0,25.0,88.0,13.0
2025-03-27,Gujarat,Banas Kantha,385001.0,25.0,21.0,22.0
2025-03-27,Bihar,Sitamarhi,843324.0,41.0,58.0,21.0
2025-03-27,Chhattisgarh,Bijapur,494444.0,43.0,15.0,42.0
2025-03-27,Jharkhand,Deoghar,815353.0,12.0,25.0,18.0
2025-03-27,Bihar,Madhubani,847108.0,13.0,61.0,12.0
2025-03-27,Bihar,Sitamarhi,843330.0,16.0,22.0,45.0
2025-03-27,Gujarat,Dahod,389170.0,16.0,19.0,14.0
2025-03-27,Maharashtra,Chhatrapati Sambhajinagar,431001.0,20.0,19.0,16.0
2025-03-27,Chhattisgarh,Bijapur,494447.0,23.0,16.0,21.0
2025-03-27,Bihar,Sitamarhi,843317.0,25.0,38.0,15.0
2025-03-27,Gujarat,Banas Kantha,385535.0,65.0,62.0,15.0
2025-03-27,Uttar Pradesh,Mathura,281201.0,15.0,19.0,16.0
2025-03-27,Uttar Pradesh,Jaunpur,222001.0,22.0,42.0,11.0
2025-03-27,Bihar,Muzaffarpur,842002.0,24.0,40.0,10.0
2025-03-27,Gujarat,Banas Kantha,385120.0,24.0,33.0,12.0
2025-03-27,Gujarat,Banas Kantha,385320.0,27.0,21.0,37.0
2025-03-27,Uttar Pradesh,Banda,210001.0,31.0,24.0,11.0
2025-03-27,Uttar Pradesh,Agra,282001.0,40.0,40.0,15.0
2025-03-27,Madhya Pradesh,Gwalior,475110.0,54.0,26.0,14.0
2025-03-27,Gujarat,Kachchh,370001.0,33.0,13.0,10.0
2025-03-27,Uttar Pradesh,Aligarh,202001.0,60.0,83.0,13.0
2025-03-28,Meghalaya,East Khasi Hills,793121.0,22.0,20.0,12.0
2025-03-28,Meghalaya,West Khasi Hills,793119.0,21.0,38.0,78.0
2025-03-29,Meghalaya,Ri Bhoi,793105.0,30.0,11.0,26.0
2025-04-01,Assam,Darrang,784116.0,119.0,67.0,64.0
2025-04-01,Assam,Kamrup,781102.0,126.0,55.0,13.0
2025-04-01,Punjab,Ludhiana,141007.0,374.0,110.0,25.0
2025-04-01,Madhya Pradesh,Ashok Nagar,473335.0,125.0,29.0,22.0
2025-04-01,Uttar Pradesh,Maharajganj,273305.0,141.0,176.0,13.0
2025-04-01,West Bengal,Darjeeling,734010.0,81.0,49.0,17.0
2025-04-01,Assam,Dima Hasao,788831.0,19.0,45.0,13.0
2025-04-01,Meghalaya,East Khasi Hills,793112.0,29.0,83.0,18.0
2025-04-01,Jharkhand,Ranchi,834001.0,187.0,174.0,21.0
2025-04-01,Gujarat,Surat,394107.0,169.0,69.0,32.0
2025-04-01,Maharashtra,Nanded,431806.0,59.0,11.0,22.0
2025-04-01,Karnataka,Bengaluru(Unspecified),560036.0,204.0,34.0,29.0
2025-04-01,Madhya Pradesh,Ashok Nagar,473443.0,141.0,57.0,15.0
2025-04-01,Assam,Jorhat,785112.0,25.0,12.0,43.0
2025-04-01,Gujarat,Gir Somnath,362265.0,127.0,20.0,17.0
2025-04-01,Maharashtra,Thane,421004.0,100.0,30.0,11.0
2025-04-01,Madhya Pradesh,Bhind,477116.0,142.0,60.0,32.0
2025-04-01,Assam,Sonitpur,784507.0,25.0,19.0,11.0
2025-04-01,Uttar Pradesh,Banda,210001.0,250.0,177.0,30.0
2025-04-01,Karnataka,Bengaluru(Unspecified),560032.0,311.0,46.0,25.0
2025-04-01,Uttar Pradesh,Lucknow,226005.0,83.0,92.0,23.0
2025-04-01,Assam,Kamrup Metro,781025.0,33.0,71.0,21.0
2025-04-01,Assam,Goalpara,783120.0,34.0,43.0,38.0
2025-04-01,Bihar,Sitamarhi,843313.0,98.0,76.0,13.0
2025-04-01,Gujarat,Bhavnagar,364002.0,165.0,14.0,11.0
2025-04-01,Meghalaya,East Khasi Hills,793008.0,16.0,195.0,85.0
2025-04-01,Assam,Golaghat,785613.0,24.0,36.0,30.0
2025-04-01,Assam,Hojai,782435.0,205.0,60.0,29.0
2025-04-01,Bihar,Sitamarhi,843315.0,102.0,125.0,18.0
2025-04-01,Bihar,Muzaffarpur,844127.0,208.0,125.0,12.0
2025-04-01,Maharashtra,Nagpur,440034.0,192.0,13.0,20.0
2025-04-01,West Bengal,Cooch Behar,736135.0,243.0,127.0,20.0
2025-04-01,Gujarat,Patan,384240.0,62.0,12.0,20.0
2025-04-01,Maharashtra,Jalgaon,425001.0,360.0,53.0,10.0
2025-04-01,Gujarat,Vadodara,390022.0,93.0,20.0,19.0
2025-04-01,Maharashtra,Hingoli,431512.0,243.0,22.0,33.0
2025-04-01,Maharashtra,Ahilyanagar,413201.0,71.0,15.0,10.0
2025-04-01,Gujarat,Gandhinagar,382721.0,174.0,32.0,66.0
2025-04-01,Madhya Pradesh,Bhind,477001.0,391.0,92.0,27.0
2025-04-01,Meghalaya,East Khasi Hills,793108.0,57.0,188.0,56.0
2025-04-01,West Bengal,North 24 Parganas,700159.0,35.0,28.0,14.0
2025-04-01,Uttar Pradesh,Kanpur Nagar,208004.0,73.0,44.0,16.0
2025-04-01,Delhi,North West Delhi,110040.0,221.0,134.0,28.0
2025-04-01,Meghalaya,East Khasi Hills,793016.0,13.0,56.0,21.0
2025-04-01,Bihar,Munger,811213.0,191.0,278.0,22.0
2025-04-01,Assam,Nagaon,782120.0,123.0,75.0,10.0
2025-04-01,Karnataka,Bengaluru(Unspecified),560047.0,150.0,11.0,12.0
2025-04-01,Nagaland,Kohima,797001.0,134.0,228.0,23.0
2025-04-01,Meghalaya,East Khasi Hills,793015.0,190.0,706.0,242.0
2025-04-01,Karnataka,Bengaluru(Unspecified),560077.0,218.0,38.0,41.0
2025-04-01,Assam,Udalguri,784507.0,29.0,53.0,150.0
2025-04-01,Rajasthan,Jalore,343049.0,54.0,27.0,14.0
2025-04-01,Uttar Pradesh,Bahraich,271824.0,68.0,58.0,11.0
2025-04-01,Assam,Baksa,781372.0,39.0,38.0,19.0
2025-04-01,Gujarat,Kheda,387001.0,112.0,18.0,26.0
2025-04-01,Gujarat,Vadodara,390001.0,93.0,22.0,16.0
2025-04-01,Assam,Nalbari,781334.0,29.0,23.0,24.0
2025-04-01,Punjab,Ludhiana,141012.0,52.0,22.0,10.0
2025-04-01,Gujarat,Kheda,387430.0,19.0,10.0,19.0
2025-04-01,Assam,Dibrugarh,786614.0,15.0,10.0,11.0
2025-04-01,Assam,Kokrajhar,783350.0,65.0,64.0,15.0
2025-04-01,Gujarat,Vadodara,390020.0,35.0,17.0,12.0
2025-04-01,Maharashtra,Palghar,401209.0,174.0,90.0,16.0
2025-04-01,Bihar,Bhagalpur,853204.0,349.0,238.0,10.0
2025-04-01,Gujarat,Surat,395004.0,464.0,167.0,38.0
2025-04-01,Rajasthan,Jodhpur,342301.0,210.0,101.0,12.0
2025-04-01,Delhi,Central Delhi,110003.0,80.0,41.0,12.0
2025-04-01,Bihar,Gaya,824231.0,85.0,200.0,16.0
2025-04-01,Meghalaya,East Khasi Hills,793121.0,301.0,972.0,290.0
2025-04-01,Assam,Lakhimpur,787031.0,202.0,52.0,34.0
2025-04-01,Gujarat,Sabar Kantha,383422.0,43.0,49.0,23.0
2025-04-01,Nagaland,Dimapur,797112.0,249.0,454.0,80.0
2025-04-01,Assam,Cachar,788005.0,65.0,44.0,17.0
2025-04-01,Uttar Pradesh,Banda,210121.0,208.0,163.0,13.0
2025-04-01,Assam,Lakhimpur,787055.0,123.0,58.0,20.0
2025-04-01,Gujarat,Banas Kantha,385555.0,38.0,18.0,25.0
2025-04-01,Bihar,Patna,801505.0,60.0,212.0,10.0
2025-04-01,Uttar Pradesh,Kheri,261505.0,375.0,408.0,11.0
2025-04-01,Assam,Kamrup Metro,781011.0,14.0,27.0,26.0
2025-04-01,Karnataka,Bengaluru(Unspecified),560029.0,102.0,23.0,17.0
2025-04-01,Gujarat,Rajkot,360022.0,63.0,11.0,21.0
2025-04-01,Maharashtra,Thane,401107.0,292.0,182.0,10.0
2025-04-01,Bihar,Muzaffarpur,843103.0,388.0,182.0,12.0
2025-04-01,Gujarat,Rajkot,360370.0,140.0,21.0,13.0
2025-04-01,Maharashtra,Satara,415523.0,192.0,26.0,18.0
2025-04-01,Assam,Hojai,782442.0,116.0,34.0,15.0
2025-04-01,Madhya Pradesh,Betul,460001.0,193.0,20.0,10.0
2025-04-01,Assam,West Karbi Anglong,782486.0,44.0,219.0,21.0
2025-04-01,Assam,Chirang,783394.0,20.0,32.0,32.0
2025-04-01,Delhi,South Delhi,110017.0,151.0,35.0,12.0
2025-04-01,Gujarat,Banas Kantha,385530.0,24.0,33.0,22.0
2025-04-01,Maharashtra,Raigad,410206.0,242.0,72.0,21.0
2025-04-01,Assam,Dibrugarh,786191.0,17.0,15.0,14.0
2025-04-01,Assam,Dibrugarh,786610.0,14.0,15.0,24.0
2025-04-01,West Bengal,Uttar Dinajpur,733134.0,484.0,109.0,27.0
2025-04-01,Madhya Pradesh,Guna,473101.0,110.0,32.0,11.0
2025-04-01,Bihar,Kaimur (Bhabua),821106.0,146.0,199.0,12.0
2025-04-01,Nagaland,Kohima,797005.0,51.0,80.0,12.0
2025-04-01,Karnataka,Bengaluru(Unspecified),560103.0,67.0,24.0,37.0
2025-04-01,Assam,Udalguri,784525.0,84.0,21.0,17.0
2025-04-01,Gujarat,Gir Somnath,362275.0,103.0,19.0,27.0
2025-04-01,Rajasthan,Dholpur,328022.0,222.0,95.0,10.0
2025-04-01,Manipur,Churachandpur,795128.0,130.0,476.0,26.0
2025-04-01,Bihar,Pashchim Champaran,845453.0,271.0,300.0,20.0
2025-04-01,Gujarat,Morbi,363641.0,298.0,64.0,40.0
2025-04-01,Maharashtra,Hingoli,431705.0,186.0,16.0,45.0
2025-04-01,Uttar Pradesh,Kanpur Nagar,208003.0,41.0,27.0,10.0
2025-04-01,Rajasthan,Jalore,343040.0,98.0,88.0,11.0
2025-04-01,Uttar Pradesh,Kanpur Nagar,208007.0,72.0,96.0,23.0
2025-04-01,Assam,Kamrup Metro,781009.0,19.0,33.0,20.0
2025-04-01,Assam,Hojai,782439.0,51.0,45.0,19.0
2025-04-01,Gujarat,Bharuch,393001.0,138.0,50.0,23.0
2025-04-01,Uttar Pradesh,Jaunpur,223104.0,111.0,133.0,10.0
2025-04-01,West Bengal,Jhargram,721517.0,40.0,10.0,12.0
2025-04-01,Madhya Pradesh,Khargone,451001.0,166.0,37.0,12.0
2025-04-01,Delhi,North West Delhi,110085.0,387.0,114.0,13.0
2025-04-01,Gujarat,Chhotaudepur,391152.0,31.0,11.0,12.0
2025-04-01,Gujarat,Vadodara,390009.0,67.0,15.0,11.0
2025-04-01,Karnataka,Bengaluru(Unspecified),560066.0,162.0,38.0,55.0
2025-04-01,Assam,Dhubri,783330.0,205.0,65.0,13.0
2025-04-01,Gujarat,Bhavnagar,364001.0,402.0,22.0,14.0
2025-04-01,Maharashtra,Mumbai Suburban,400058.0,82.0,13.0,10.0
2025-04-01,Assam,Hailakandi,788155.0,70.0,43.0,18.0
2025-04-01,Gujarat,Panch Mahals,389341.0,63.0,17.0,15.0
2025-04-01,Assam,West Karbi Anglong,782485.0,39.0,94.0,13.0
2025-04-01,Assam,South Salmara Mancachar,783135.0,102.0,43.0,12.0
2025-04-01,Uttar Pradesh,Budaun,243601.0,480.0,267.0,13.0
2025-04-01,Jharkhand,Ranchi,834002.0,99.0,130.0,11.0
2025-04-01,Uttar Pradesh,Bahraich,271855.0,417.0,377.0,45.0
2025-04-01,Assam,Golaghat,785601.0,165.0,146.0,23.0
2025-04-01,Uttar Pradesh,Kanpur Dehat,209306.0,141.0,146.0,31.0
2025-04-01,Maharashtra,Nanded,431604.0,149.0,42.0,12.0
2025-04-01,Uttar Pradesh,Jaunpur,222001.0,373.0,360.0,28.0
2025-04-01,Gujarat,Surat,395003.0,138.0,33.0,18.0
2025-04-01,Bihar,Patna,800002.0,39.0,199.0,19.0
2025-04-01,West Bengal,Darjeeling,734014.0,82.0,34.0,16.0
2025-04-01,Gujarat,Porbandar,360575.0,205.0,28.0,24.0
2025-04-01,Meghalaya,West Garo Hills,794105.0,145.0,176.0,62.0
2025-04-01,Gujarat,Kachchh,370001.0,442.0,73.0,20.0
2025-04-01,Punjab,Kapurthala,144401.0,138.0,37.0,51.0
2025-04-01,Assam,Kamrup Metro,781034.0,11.0,41.0,15.0
2025-04-01,Gujarat,Morbi,363621.0,250.0,41.0,89.0
2025-04-01,Maharashtra,Thane,400607.0,84.0,22.0,22.0
2025-04-01,Assam,Marigaon,782411.0,186.0,171.0,22.0
2025-04-01,Meghalaya,South Garo Hills,794005.0,50.0,231.0,118.0
2025-04-01,Rajasthan,Nagaur,341025.0,118.0,54.0,10.0
2025-04-01,Assam,Bongaigaon,783380.0,74.0,29.0,27.0
2025-04-01,Karnataka,Bengaluru(Unspecified),560076.0,193.0,50.0,36.0
2025-04-01,Assam,Kamrup Metro,782402.0,45.0,21.0,15.0
2025-04-01,Assam,Chirang,783375.0,52.0,88.0,94.0
2025-04-01,Rajasthan,Sikar,332709.0,141.0,29.0,10.0
2025-04-01,Karnataka,Mysuru,570019.0,456.0,19.0,10.0
2025-04-01,Karnataka,Bengaluru(Unspecified),560049.0,183.0,25.0,15.0
2025-04-01,Gujarat,Mahesana,384001.0,120.0,15.0,25.0
2025-04-01,Rajasthan,Churu,331403.0,316.0,141.0,12.0
2025-04-01,Karnataka,Bengaluru(Unspecified),560061.0,194.0,23.0,16.0
2025-04-01,Madhya Pradesh,Guna,473001.0,523.0,88.0,20.0
2025-04-01,Assam,Golaghat,785611.0,52.0,56.0,14.0
2025-04-01,Assam,Kamrup,781380.0,86.0,17.0,14.0
2025-04-01,Rajasthan,Jalore,343001.0,189.0,63.0,11.0
2025-04-01,Assam,Nalbari,781337.0,15.0,11.0,23.0
2025-04-01,Telangana,Hyderabad,500059.0,160.0,22.0,10.0
2025-04-01,Tamil Nadu,Kanchipuram,600100.0,148.0,56.0,10.0
2025-04-01,Uttar Pradesh,Varanasi,221011.0,52.0,81.0,30.0
2025-04-01,Jharkhand,Lohardaga,835302.0,187.0,104.0,17.0
2025-04-01,Assam,Marigaon,782127.0,122.0,76.0,11.0
2025-04-01,Assam,Udalguri,784514.0,68.0,38.0,12.0
2025-04-01,Meghalaya,West Jaintia Hills,793150.0,382.0,792.0,375.0
2025-04-01,Rajasthan,Jalore,343041.0,278.0,251.0,13.0
2025-04-01,Meghalaya,North Garo Hills,794110.0,19.0,119.0,44.0
2025-04-01,Madhya Pradesh,Chhatarpur,471313.0,185.0,75.0,10.0
2025-04-01,Gujarat,Gandhinagar,382305.0,113.0,12.0,14.0
2025-04-01,Assam,Cachar,788009.0,46.0,23.0,19.0
2025-04-01,Gujarat,Banas Kantha,385320.0,91.0,59.0,94.0
2025-04-01,Gujarat,Banas Kantha,385545.0,75.0,83.0,61.0
2025-04-01,West Bengal,Nadia,741502.0,204.0,33.0,11.0
2025-04-01,Assam,Cachar,788030.0,110.0,51.0,41.0
2025-04-01,Assam,Tinsukia,786174.0,34.0,50.0,20.0
2025-04-01,Bihar,Purnia,854304.0,517.0,276.0,21.0
2025-04-01,Uttar Pradesh,Saharanpur,247341.0,363.0,97.0,10.0
2025-04-01,Haryana,Gurugram,122002.0,68.0,47.0,14.0
2025-04-01,Assam,Charaideo,785690.0,26.0,18.0,60.0
2025-04-01,Gujarat,Vadodara,390019.0,176.0,82.0,39.0
2025-04-01,Rajasthan,Jaipur,302012.0,781.0,198.0,21.0
2025-04-01,Bihar,Saran,841311.0,143.0,174.0,10.0
2025-04-01,Madhya Pradesh,Morena,476221.0,122.0,63.0,13.0
2025-04-01,Meghalaya,East Khasi Hills,793113.0,50.0,239.0,78.0
2025-04-01,Maharashtra,Nagpur,440027.0,81.0,14.0,10.0
2025-04-01,Telangana,Hyderabad,500013.0,92.0,10.0,12.0
2025-04-01,Madhya Pradesh,Dhar,454010.0,42.0,15.0,22.0
2025-04-01,Gujarat,Dahod,389151.0,289.0,237.0,18.0
2025-04-01,Meghalaya,West Garo Hills,794002.0,134.0,344.0,199.0
2025-04-01,Gujarat,Chhotaudepur,391170.0,20.0,12.0,15.0
2025-04-01,Gujarat,Devbhumi Dwarka,361310.0,51.0,17.0,15.0
2025-04-01,Bihar,Purbi Champaran,845315.0,70.0,164.0,12.0
2025-04-01,Bihar,Purbi Champaran,845303.0,130.0,466.0,23.0
2025-04-01,Bihar,Sitamarhi,843324.0,627.0,378.0,162.0
2025-04-01,Rajasthan,Dholpur,328001.0,236.0,108.0,16.0
2025-04-01,Gujarat,Tapi,394370.0,68.0,12.0,13.0
2025-04-01,Uttar Pradesh,Baghpat,250611.0,311.0,224.0,18.0
2025-04-01,Uttar Pradesh,Fatehpur,212635.0,166.0,136.0,10.0
